partecipant,match_id,datetime,group,stato_avanzamento_torneo,match_day,lock_timestamp,home_team,away_team,home_score,away_score,real_scorers,real_autogol_squadra_1,real_autogol_squadra_2,pred_home_score,pred_away_score,pred_result,pred_scorer,pred_autogol_squadra_1,pred_autogol_squadra_2,exact_score_points,result_1x2_points,scorer_points,own_goal_points,total_points
Alessandro,1,2026-06-11 21:00,A,Group Stage,1,2026-06-11 21:00:00,Mexico,South Africa,2,1,CHAVEZ Luis;GOSS Ricardo,False,True,,,,,False,False,0,0,0,0,0
Andrea,1,2026-06-11 21:00,A,Group Stage,1,2026-06-11 21:00:00,Mexico,South Africa,2,1,CHAVEZ Luis;GOSS Ricardo,False,True,2,0,1,,False,True,0,2,0,2,4
Edoardo,1,2026-06-11 21:00,A,Group Stage,1,2026-06-11 21:00:00,Mexico,South Africa,2,1,CHAVEZ Luis;GOSS Ricardo,False,True,,,,,False,False,0,0,0,0,0
Ferdinando,1,2026-06-11 21:00,A,Group Stage,1,2026-06-11 21:00:00,Mexico,South Africa,2,1,CHAVEZ Luis;GOSS Ricardo,False,True,,,,,False,False,0,0,0,0,0
Gabriele,1,2026-06-11 21:00,A,Group Stage,1,2026-06-11 21:00:00,Mexico,South Africa,2,1,CHAVEZ Luis;GOSS Ricardo,False,True,,,,,False,False,0,0,0,0,0
Peppe,1,2026-06-11 21:00,A,Group Stage,1,2026-06-11 21:00:00,Mexico,South Africa,2,1,CHAVEZ Luis;GOSS Ricardo,False,True,,,,,False,False,0,0,0,0,0
Salvatore Sca.,1,2026-06-11 21:00,A,Group Stage,1,2026-06-11 21:00:00,Mexico,South Africa,2,1,CHAVEZ Luis;GOSS Ricardo,False,True,,,,,False,False,0,0,0,0,0
Salvatore Sch.,1,2026-06-11 21:00,A,Group Stage,1,2026-06-11 21:00:00,Mexico,South Africa,2,1,CHAVEZ Luis;GOSS Ricardo,False,True,,,,,False,False,0,0,0,0,0
Simone,1,2026-06-11 21:00,A,Group Stage,1,2026-06-11 21:00:00,Mexico,South Africa,2,1,CHAVEZ Luis;GOSS Ricardo,False,True,,,,,False,False,0,0,0,0,0
Vins,1,2026-06-11 21:00,A,Group Stage,1,2026-06-11 21:00:00,Mexico,South Africa,2,1,CHAVEZ Luis;GOSS Ricardo,False,True,,,,,False,False,0,0,0,0,0
